OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_143,Bacteria(100.0),Firmicutes(43.9),Bacilli(29.5),Bacillales(29.5),Bacillaceae_2(29.5),Amphibacillus(29.5)
OTU_149,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.7),Rhizobiales(99.6),Bradyrhizobiaceae(99.4),Bosea(99.4)
OTU_148,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.8),Rhodospirillales(99.6),Rhodospirillaceae(99.6),Dongia(99.6)
OTU_150,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(97.2),Solirubrobacterales(92.3),Conexibacteraceae(88.5),Conexibacter(69.2)
OTU_147,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(98.0),Gemmatimonadales(98.0),Gemmatimonadaceae(98.0),Gemmatimonas(98.0)
OTU_144,Bacteria(100.0),Proteobacteria(72.3),Gammaproteobacteria(45.8),Chromatiales(45.8),Ectothiorhodospiraceae(41.3),Halorhodospira(41.3)
OTU_153,Bacteria(100.0),Verrucomicrobia(72.3),Opitutae(41.7),Opitutales(41.7),Opitutaceae(41.0),Alterococcus(41.0)
OTU_152,Bacteria(100.0),Firmicutes(51.0),Bacilli(31.1),Bacillales(31.1),Thermoactinomycetaceae_2(31.1),Planifilum(31.1)
OTU_151,Bacteria(100.0),Firmicutes(63.0),Clostridia(31.9),Thermoanaerobacterales(31.9),Thermoanaerobacteraceae(31.9),Caldanaerobacter(31.9)
OTU_159,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(99.8),Sphingobacteriales(99.7),Chitinophagaceae(99.7),Terrimonas(99.3)
OTU_154,Bacteria(100.0),Verrucomicrobia(100.0),Opitutae(96.5),Opitutales(96.5),Opitutaceae(95.2),Opitutus(66.6)
OTU_156,Bacteria(100.0),Planctomycetes(56.9),Planctomycetacia(33.6),Planctomycetales(33.6),Planctomycetaceae(33.6),Planctomyces(33.6)
OTU_155,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.3),Sphingomonadales(99.0),Sphingomonadaceae(98.5),Sphingomonas(97.7)
OTU_163,Bacteria(100.0),Verrucomicrobia(99.9),Verrucomicrobiae(90.6),Verrucomicrobiales(87.4),Verrucomicrobiaceae(75.8),Verrucomicrobium(48.5)
OTU_160,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.2),Rhodospirillales(99.2),Rhodospirillaceae(98.6),Azospirillum(91.7)
OTU_161,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(97.8),Gemmatimonadales(97.8),Gemmatimonadaceae(97.8),Gemmatimonas(97.1)
OTU_162,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(90.6),Xanthomonadales(68.8),Sinobacteraceae(58.3),Steroidobacter(49.5)
OTU_157,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(100.0),Actinomycetales(100.0),Intrasporangiaceae(99.4),Phycicoccus(99.4)
OTU_158,Bacteria(100.0),Proteobacteria(96.6),Deltaproteobacteria(66.1),Desulfobacterales(55.0),Desulfobacteraceae(43.6),Desulfosalsimonas(43.6)
OTU_164,Bacteria(100.0),Proteobacteria(99.9),Gammaproteobacteria(88.2),Chromatiales(63.2),Ectothiorhodospiraceae(50.2),Thioalkalivibrio(46.5)
OTU_166,Bacteria(100.0),Firmicutes(100.0),Clostridia(94.5),Clostridiales(94.2),Ruminococcaceae(90.2),Acetivibrio(63.1)
OTU_168,Bacteria(100.0),Verrucomicrobia(99.6),Verrucomicrobiae(83.2),Verrucomicrobiales(66.6),Verrucomicrobiaceae(50.2),Prosthecobacter(44.9)
OTU_165,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(94.5),Gemmatimonadales(94.2),Gemmatimonadaceae(92.9),Gemmatimonas(81.1)
OTU_176,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(97.8),Rhizobiales(91.4),Rhizobiales_incertae_sedis(89.4),Bauldia(70.9)
OTU_167,Bacteria(100.0),Firmicutes(100.0),Clostridia(85.4),Clostridiales(70.1),Gracilibacteraceae(58.3),Lutispora(49.5)
OTU_172,Bacteria(100.0),Firmicutes(100.0),Bacilli(92.6),Bacillales(91.4),Pasteuriaceae(89.4),Pasteuria(70.9)
